Target_Class,Target_Class_CN,Site_Month,Site_ID,YearMonth,Month,n_all_valid_hours,Macro_Mean_SiteMonth_AllValid,Macro_SD_SiteMonth_AllValid,Target_n_hours,Normal_n_hours_for_pair,Target_Macro_SD,Normal_Macro_SD_for_pair,Pass_Hours,Pass_Target_Macro_SD,Pass_Normal_Macro_SD,Pass_Hours_Plus_Macro_SD
Severe,重度干旱,95332225_2025-09,95332225,2025-09,9,720,26.484160476260715,3.1797980151240264,120,168,3.120044958300464,3.1133822669622266,True,True,True,True
Severe,重度干旱,95332225_2025-10,95332225,2025-10,10,744,22.66208363604802,5.921556361037643,0,528,,5.797117492112878,False,False,True,False
Severe,重度干旱,95332225_2025-11,95332225,2025-11,11,720,13.838763210839696,4.978926596664019,0,384,,5.112996984620719,False,False,True,False
Severe,重度干旱,95332225_2025-12,95332225,2025-12,12,736,11.636291938752908,4.6437973505104795,0,72,,4.426294683236926,False,False,True,False
Severe,重度干旱,95332226_2025-01,95332226,2025-01,1,288,9.832725645366331,5.013157206880526,120,0,4.6410563827069256,,False,True,False,False
Severe,重度干旱,95332226_2025-02,95332226,2025-02,2,672,8.176185562164479,4.081640940735414,72,0,2.621191247324835,,False,True,False,False
Severe,重度干旱,95332226_2025-03,95332226,2025-03,3,744,13.361564757322432,7.158414203872485,0,456,,7.780788725444926,False,False,True,False
Severe,重度干旱,95332226_2025-04,95332226,2025-04,4,720,18.382806024948756,4.5978168174182406,0,360,,4.811633201391394,False,False,True,False
Severe,重度干旱,95332226_2025-05,95332226,2025-05,5,744,21.540015456497027,3.3025030257938046,0,336,,3.5681204221428247,False,False,True,False
Severe,重度干旱,95332226_2025-06,95332226,2025-06,6,720,25.745973994996813,2.9103912222871804,24,408,2.7540930385456615,2.7468649015909414,False,True,True,False
Severe,重度干旱,95332226_2025-07,95332226,2025-07,7,744,27.123589161903627,3.3597775599727124,24,0,3.1622160766063474,,False,True,False,False
Severe,重度干旱,95332226_2025-08,95332226,2025-08,8,744,27.984367421878282,3.2340854905627303,336,120,3.410111156164232,2.4584583314815482,True,True,True,True
Severe,重度干旱,95332226_2025-09,95332226,2025-09,9,720,27.36123014556037,3.266652266043331,72,216,3.1685030708386246,3.265185259811845,True,True,True,True
Severe,重度干旱,95332226_2025-10,95332226,2025-10,10,744,23.046843949184623,6.502009651038073,0,528,,5.933075628937932,False,False,True,False
Severe,重度干旱,95332226_2025-11,95332226,2025-11,11,720,13.64241445147329,5.233803573496765,0,384,,5.465362641476353,False,False,True,False
Severe,重度干旱,95332226_2025-12,95332226,2025-12,12,736,11.645646248508811,5.007913411163698,0,96,,4.53585904828579,False,False,True,False
Severe,重度干旱,95332227_2025-01,95332227,2025-01,1,288,9.364212982589379,5.0499023757421435,192,0,4.680793270735852,,False,True,False,False
Severe,重度干旱,95332227_2025-02,95332227,2025-02,2,672,8.773963921137952,3.982715113556021,0,24,,2.40424238047083,False,False,True,False
Severe,重度干旱,95332227_2025-03,95332227,2025-03,3,744,13.616830861696632,6.773374304224756,0,360,,5.649508546704066,False,False,True,False
Severe,重度干旱,95332227_2025-04,95332227,2025-04,4,720,18.21718373696009,4.665697319784654,0,384,,4.912631135589114,False,False,True,False
Severe,重度干旱,95332227_2025-05,95332227,2025-05,5,744,21.464452620475523,3.3938309477068063,0,456,,3.66154556101411,False,False,True,False
Severe,重度干旱,95332227_2025-06,95332227,2025-06,6,720,25.663552117347717,2.927652802450469,24,432,2.984659449273001,2.768513313682937,False,True,True,False
Severe,重度干旱,95332227_2025-07,95332227,2025-07,7,744,26.94075148079985,3.2595890383415216,0,144,,3.0651650223802687,False,False,True,False
Severe,重度干旱,95332227_2025-08,95332227,2025-08,8,744,27.655790941689602,3.241226220025522,168,240,3.379205071887089,2.962821651397269,True,True,True,True
Severe,重度干旱,95332227_2025-09,95332227,2025-09,9,720,27.23707651032342,3.2949344079941474,96,168,3.138090105562166,3.310543084720255,True,True,True,True
Severe,重度干旱,95332227_2025-10,95332227,2025-10,10,744,23.27192848728549,6.1699953108658,0,480,,5.561858416698483,False,False,True,False
Severe,重度干旱,95332227_2025-11,95332227,2025-11,11,720,13.914970339172417,5.282037552027608,0,336,,5.358811245642614,False,False,True,False
Severe,重度干旱,95332227_2025-12,95332227,2025-12,12,736,11.681208512300383,4.895078683776183,72,72,3.829676791032546,4.865494202170283,True,True,True,True
Severe,重度干旱,95332228_2025-01,95332228,2025-01,1,288,8.403716251771483,5.022097057183021,168,0,4.415137975108645,,False,True,False,False
Severe,重度干旱,95332228_2025-02,95332228,2025-02,2,672,7.655305708066278,4.060626120725531,24,72,2.1499964879154767,2.70940402497322,False,True,True,False
Severe,重度干旱,95332228_2025-03,95332228,2025-03,3,744,12.338962045888747,6.65284228077387,0,336,,5.426421609958499,False,False,True,False
Severe,重度干旱,95332228_2025-04,95332228,2025-04,4,720,16.986948269605637,4.454774870650146,0,480,,4.302603202593648,False,False,True,False
Severe,重度干旱,95332228_2025-05,95332228,2025-05,5,744,20.366342216409663,3.313453629207295,0,312,,3.4603102583526835,False,False,True,False
Severe,重度干旱,95332228_2025-06,95332228,2025-06,6,720,24.50200973086887,2.7477028975839954,24,432,2.968692388606542,2.595247644658369,False,True,True,False
Severe,重度干旱,95332228_2025-07,95332228,2025-07,7,744,25.74981520509207,3.2463615275505693,0,120,,2.902404908751596,False,False,True,False
Severe,重度干旱,95332228_2025-08,95332228,2025-08,8,744,26.670996004535304,3.3434845861650717,120,264,3.4551650535080576,2.9147470505943174,True,True,True,True
Severe,重度干旱,95332228_2025-09,95332228,2025-09,9,720,26.16598827573988,3.4015400290427245,120,432,3.2734994848056194,3.5154087739896065,True,True,True,True
Severe,重度干旱,95332228_2025-10,95332228,2025-10,10,744,22.194150070990286,6.0519383859559275,0,744,,6.0519383859559275,False,False,True,False
Severe,重度干旱,95332228_2025-11,95332228,2025-11,11,720,13.010421169466442,4.970851776027169,0,408,,5.208747181022105,False,False,True,False
Severe,重度干旱,95332228_2025-12,95332228,2025-12,12,736,10.60920822073746,4.788351834884893,0,120,,4.440626763298325,False,False,True,False
Severe,重度干旱,95332229_2025-01,95332229,2025-01,1,288,7.384476598837257,4.8072298767549375,240,0,4.892037020350893,,False,True,False,False
Severe,重度干旱,95332229_2025-02,95332229,2025-02,2,672,5.935747649612105,3.922011767621309,24,72,1.781430793627862,2.3258583662856833,False,True,True,False
Severe,重度干旱,95332229_2025-03,95332229,2025-03,3,744,10.828968004593927,6.506146114066032,0,336,,5.281840337903301,False,False,True,False
Severe,重度干旱,95332229_2025-04,95332229,2025-04,4,720,15.961812634600534,4.126919857826395,0,360,,4.320677695324852,False,False,True,False
Severe,重度干旱,95332229_2025-05,95332229,2025-05,5,744,19.198037444904287,3.2170579516567592,0,216,,3.496705627071555,False,False,True,False
Severe,重度干旱,95332229_2025-06,95332229,2025-06,6,720,23.114102829827203,2.712483888976091,0,432,,2.6191279590376064,False,False,True,False
Severe,重度干旱,95332229_2025-07,95332229,2025-07,7,744,24.481567764794956,2.785330565798085,0,48,,2.8488641169482682,False,False,True,False
Severe,重度干旱,95332229_2025-08,95332229,2025-08,8,744,25.08084526882377,2.902332913025466,192,264,3.016955874770809,2.757520341435024,True,True,True,True
Severe,重度干旱,95332229_2025-09,95332229,2025-09,9,720,24.030208248562282,2.788465388043867,144,432,2.9026924501786815,2.8335960462008742,True,True,True,True
Severe,重度干旱,95332229_2025-10,95332229,2025-10,10,744,19.83642381237399,5.749446401004705,0,624,,5.714743224390458,False,False,True,False
Severe,重度干旱,95332229_2025-11,95332229,2025-11,11,720,11.65790921896696,4.598463551890265,0,384,,4.506377690338656,False,False,True,False
Severe,重度干旱,95332229_2025-12,95332229,2025-12,12,736,9.235914491694016,4.348584896045972,0,96,,4.012212075296899,False,False,True,False
Severe,重度干旱,95332230_2025-01,95332230,2025-01,1,288,9.94111049730984,5.2064974418712735,120,0,4.5366883559786135,,False,True,False,False
Severe,重度干旱,95332230_2025-02,95332230,2025-02,2,672,9.364339582245087,4.103803709423102,24,72,2.5379367334409753,2.4858336761605107,False,True,True,False
Severe,重度干旱,95332230_2025-03,95332230,2025-03,3,744,14.220803271698696,6.890922192051151,0,312,,6.051081750549304,False,False,True,False
Severe,重度干旱,95332230_2025-04,95332230,2025-04,4,720,18.907900973161063,4.6485916479041025,0,552,,4.533485194942162,False,False,True,False
Severe,重度干旱,95332230_2025-05,95332230,2025-05,5,744,22.26260082696074,3.445374497552859,0,384,,3.7353342438612196,False,False,True,False
Severe,重度干旱,95332230_2025-06,95332230,2025-06,6,720,26.581292949782476,2.933093660427012,96,432,3.1105066979067475,2.774997456685245,True,True,True,True
Severe,重度干旱,95332230_2025-07,95332230,2025-07,7,744,27.72466592891242,3.4330249758975517,0,168,,2.9666331515028146,False,False,True,False
