Site_ID,Station_Lon,Station_Lat,Matched_Grid_Lon,Matched_Grid_Lat,Event_ID,Start_Date,End_Date,Duration_Days,Min_Daily_SPI,Max_Daily_SPI,Min_SPI_Date,Max_SPI_Date,Severity,Drought_Level,Drought_Level_Code,Edge_Truncated,Drought_Extent_Peak(%),Drought_Extent_Union(%),Station_Event_Count_Total,Station_Event_Count_Light,Station_Event_Count_Moderate,Station_Event_Count_Severe,Station_Event_Count_Extreme
95332225.0,117.5158023,27.14893502,117.52499389648438,27.125,3,2025-02-24,2025-03-02,7,-0.9977991580963135,-0.8744008541107178,2025-02-25,2025-02-26,6.634891748428345,Light,1,False,93.52,100.0,8,3,3,1,1
95332225.0,117.5158023,27.14893502,117.52499389648438,27.125,4,2025-04-13,2025-04-21,9,-1.1760340929031372,-0.6052693724632263,2025-04-13,2025-04-21,8.62975949048996,Moderate,2,False,92.65,93.49,8,3,3,1,1
95332225.0,117.5158023,27.14893502,117.52499389648438,27.125,5,2025-05-11,2025-05-16,6,-0.9887043237686157,-0.532088577747345,2025-05-12,2025-05-11,4.781651794910431,Light,1,False,37.52,57.74,8,3,3,1,1
95332225.0,117.5158023,27.14893502,117.52499389648438,27.125,6,2025-06-26,2025-07-12,17,-1.2304949760437012,-0.554946780204773,2025-06-28,2025-06-26,15.965554416179657,Moderate,2,False,98.71,99.43,8,3,3,1,1
95332225.0,117.5158023,27.14893502,117.52499389648438,27.125,7,2025-08-12,2025-09-23,43,-2.157047986984253,-0.5694388747215271,2025-08-29,2025-09-18,59.29728865623474,Extreme,4,False,83.43,98.46,8,3,3,1,1
95332225.0,117.5158023,27.14893502,117.52499389648438,27.125,8,2025-12-04,2025-12-31,28,-1.487053394317627,-0.5498426556587219,2025-12-04,2025-12-21,26.466029703617096,Moderate,2,True,15.69,92.81,8,3,3,1,1
95332226.0,117.9129664,27.71936172,117.92498779296875,27.724998474121094,1,2025-01-01,2025-03-02,61,-1.8665928840637207,-0.5645067691802979,2025-01-31,2025-01-16,69.3838409781456,Severe,3,True,98.8,100.0,6,1,2,2,1
95332226.0,117.9129664,27.71936172,117.92498779296875,27.724998474121094,2,2025-04-02,2025-04-08,7,-0.7456499338150024,-0.5380701422691345,2025-04-03,2025-04-05,4.058578372001648,Light,1,False,92.75,94.04,6,1,2,2,1
95332226.0,117.9129664,27.71936172,117.92498779296875,27.724998474121094,3,2025-04-13,2025-04-20,8,-1.3577284812927246,-0.58286452293396,2025-04-13,2025-04-20,8.821480810642242,Moderate,2,False,92.65,93.49,6,1,2,2,1
95332226.0,117.9129664,27.71936172,117.92498779296875,27.724998474121094,4,2025-06-21,2025-08-01,42,-1.648650884628296,-0.6395377516746521,2025-06-30,2025-07-30,47.453545451164246,Severe,3,False,96.6,99.57,6,1,2,2,1
