Site_ID,Station_Lon,Station_Lat,Matched_Grid_Lon,Matched_Grid_Lat,Distance_to_Grid_km,Extraction_Method,Event_ID,Start_Date,End_Date,Duration_Days,Min_Daily_SPI,Max_Daily_SPI,Min_SPI_Date,Max_SPI_Date,Severity,Drought_Level,Drought_Level_Code,Edge_Truncated
95332220.0,116.11679,25.25292,116.125,25.274993896484375,2.5896,Bilinear,4,2025-04-02,2025-04-18,17,-2.0098748207092285,-1.3153539253774311,2025-04-02,2025-04-16,28.319966166962796,Extreme,4,False
95332220.0,116.11679,25.25292,116.125,25.274993896484375,2.5896,Bilinear,5,2025-05-19,2025-05-27,9,-0.854886769063769,-0.5950946695871686,2025-05-22,2025-05-21,6.519632410778387,Light,1,False
95332220.0,116.11679,25.25292,116.125,25.274993896484375,2.5896,Bilinear,6,2025-07-16,2025-07-21,6,-0.8359630214422633,-0.5268639222402003,2025-07-19,2025-07-16,4.049894807608474,Light,1,False
95332220.0,116.11679,25.25292,116.125,25.274993896484375,2.5896,Bilinear,7,2025-08-29,2025-09-09,12,-1.148127335090419,-0.5745079314607582,2025-09-01,2025-09-09,8.951979922988915,Moderate,2,False
95332220.0,116.11679,25.25292,116.125,25.274993896484375,2.5896,Bilinear,8,2025-09-12,2025-09-19,8,-0.6490309032080035,-0.5180074448000812,2025-09-17,2025-09-15,4.552203312735113,Light,1,False
95332220.0,116.11679,25.25292,116.125,25.274993896484375,2.5896,Mean3x3,1,2025-01-01,2025-01-08,8,-1.2171263562308416,-0.7486346893840365,2025-01-01,2025-01-08,7.501155939367083,Moderate,2,True
95332220.0,116.11679,25.25292,116.125,25.274993896484375,2.5896,Mean3x3,2,2025-01-17,2025-02-05,20,-1.7731170654296875,-0.6590582264794244,2025-02-05,2025-01-17,21.41966692606608,Severe,3,False
95332220.0,116.11679,25.25292,116.125,25.274993896484375,2.5896,Mean3x3,3,2025-02-08,2025-03-02,23,-1.9533387157652113,-0.6425422694947984,2025-02-25,2025-02-08,26.54465164740881,Severe,3,False
95332220.0,116.11679,25.25292,116.125,25.274993896484375,2.5896,Mean3x3,4,2025-04-02,2025-04-21,20,-2.0098748207092285,-0.602263511882888,2025-04-02,2025-04-21,31.446664666550028,Extreme,4,False
95332220.0,116.11679,25.25292,116.125,25.274993896484375,2.5896,Mean3x3,5,2025-05-22,2025-05-27,6,-0.8923708730273776,-0.6680238909191556,2025-05-22,2025-05-25,4.353094187047747,Light,1,False
95332220.0,116.11679,25.25292,116.125,25.274993896484375,2.5896,Mean3x3,6,2025-06-27,2025-07-05,9,-1.325398286183675,-0.5327730046378242,2025-06-28,2025-07-05,7.741680790980657,Moderate,2,False
