lat,lon,magnitude,duration,severity,onset
24.524994,117.42499,-1.319604,2,2.2047215,202501
24.524994,117.475006,-1.3566084,2,2.2606096,202501
24.524994,117.524994,-1.2946728,2,2.1704068,202501
24.524994,117.57501,-1.2863277,2,2.214672,202501
24.524994,117.625,-1.3527027,2,2.2909555,202501
24.524994,117.67499,-1.3563555,2,2.2789025,202501
24.524994,117.725006,-1.4061422,2,2.2957256,202501
24.524994,117.774994,-1.4280368,2,2.2205005,202501
24.524994,117.82501,-1.4457594,2,2.248497,202501
24.524994,117.875,-1.5365463,2,2.346977,202501
24.524994,117.92499,-1.5430602,2,2.4273062,202501
24.524994,117.975006,-1.5769266,2,2.485386,202501
24.524994,118.024994,-1.5916098,2,2.4243617,202501
24.524994,118.125,-1.6131705,2,2.495685,202501
24.524994,118.17499,-1.6390245,2,2.5569873,202501
24.524994,118.57501,-1.6241367,2,2.4938657,202501
24.574997,116.774994,-1.3167511,2,2.2668962,202501
24.574997,116.82501,-1.3365932,2,2.3041387,202501
24.574997,116.875,-1.3501614,2,2.31051,202501
24.574997,116.92499,-1.3333933,2,2.2734313,202501
24.574997,116.975006,-1.3366052,2,2.2691922,202501
24.574997,117.024994,-1.2341847,2,2.1372633,202501
24.574997,117.07501,-1.2207838,2,2.1440723,202501
24.574997,117.125,-1.2268006,2,2.1739335,202501
24.574997,117.17499,-1.2670871,2,2.2021482,202501
24.574997,117.225006,-1.3126979,2,2.2286658,202501
24.574997,117.274994,-1.2584234,2,2.1291342,202501
24.574997,117.32501,-1.3667773,2,2.2443285,202501
24.574997,117.375,-1.3823543,2,2.3135664,202501
24.574997,117.42499,-1.3279601,2,2.2216876,202501
24.574997,117.475006,-1.3452584,2,2.2676,202501
24.574997,117.524994,-1.2805699,2,2.1618094,202501
24.574997,117.57501,-1.2949815,2,2.23914,202501
24.574997,117.625,-1.3429315,2,2.2992237,202501
24.574997,117.67499,-1.3397175,2,2.2727861,202501
24.574997,117.725006,-1.4158217,2,2.3339486,202501
24.574997,117.774994,-1.4570448,2,2.2683496,202501
24.574997,117.82501,-1.4777328,2,2.2933543,202501
24.574997,117.875,-1.5607375,2,2.4005632,202501
24.574997,117.92499,-1.5344812,2,2.4491298,202501
24.574997,117.975006,-1.5736778,2,2.5023174,202501
24.574997,118.024994,-1.642735,2,2.4979665,202501
24.574997,118.07501,-1.6722095,2,2.5355682,202501
24.574997,118.225006,-1.622553,2,2.552438,202501
24.574997,118.274994,-1.6661358,2,2.5831828,202501
24.574997,118.57501,-1.6938102,2,2.5914128,202501
24.574997,118.625,-1.6393613,2,2.4718738,202501
24.625,116.524994,-1.3272529,2,2.3529782,202501
24.625,116.82501,-1.3375959,2,2.3345964,202501
24.625,116.875,-1.3529575,2,2.3354714,202501
24.625,116.92499,-1.3477863,2,2.3202164,202501
24.625,116.975006,-1.2949038,2,2.2862275,202501
24.625,117.024994,-1.1812423,2,2.109509,202501
24.625,117.07501,-1.1768018,2,2.0718255,202501
24.625,117.125,-1.2190506,2,2.1122618,202501
24.625,117.17499,-1.242766,2,2.1573546,202501
24.625,117.225006,-1.2678932,2,2.2008626,202501
24.625,117.274994,-1.2708797,2,2.1589048,202501
24.625,117.32501,-1.2902945,2,2.212759,202501
24.625,117.375,-1.3160435,2,2.2551146,202501
24.625,117.42499,-1.3304874,2,2.2362053,202501
24.625,117.475006,-1.3443404,2,2.2700331,202501
24.625,117.524994,-1.3360517,2,2.2124805,202501
24.625,117.57501,-1.3455288,2,2.2294033,202501
24.625,117.625,-1.3673571,2,2.2796676,202501
24.625,117.67499,-1.380772,2,2.3082807,202501
24.625,117.725006,-1.4437551,2,2.4404688,202501
24.625,117.774994,-1.4707592,2,2.3186903,202501
24.625,117.82501,-1.4592324,2,2.310513,202501
24.625,117.875,-1.5432553,2,2.4226253,202501
24.625,117.92499,-1.5233968,2,2.4554842,202501
24.625,117.975006,-1.5386783,2,2.51177,202501
24.625,118.024994,-1.546043,2,2.440584,202501
24.625,118.07501,-1.5522153,2,2.4066284,202501
24.625,118.125,-1.5807945,2,2.4678035,202501
24.625,118.225006,-1.561503,2,2.447478,202501
24.625,118.274994,-1.6006538,2,2.4058013,202501
24.625,118.32501,-1.6185409,2,2.4516897,202501
24.625,118.375,-1.6845279,2,2.5454807,202501
24.625,118.42499,-1.646636,2,2.4431672,202501
24.625,118.524994,-1.6664866,2,2.524831,202501
24.625,118.57501,-1.5916103,2,2.4360764,202501
24.625,118.625,-1.6054426,2,2.4281976,202501
24.625,118.67499,-1.5962056,2,2.3824463,202501
24.674995,116.524994,-1.2930354,2,2.3086581,202501
24.674995,116.57501,-1.3051959,2,2.313614,202501
24.674995,116.625,-1.2984239,2,2.311935,202501
24.674995,116.67499,-1.3378043,2,2.3711636,202501
