Site_ID,YearMonth,DroughtLevel,Target_n_hours,Normal_n_hours,Target_flag,Normal_flag,Pair_flag
95332223,2025-09,Moderate,216,336,ok,ok,ok
95332223,2025-09,Severe,0,336,too_few_hours,ok,too_few_hours
95332223,2025-09,Extreme,0,336,too_few_hours,ok,too_few_hours
95332223,2025-10,Mild,0,240,too_few_hours,ok,too_few_hours
95332223,2025-10,Moderate,0,240,too_few_hours,ok,too_few_hours
95332223,2025-10,Severe,0,240,too_few_hours,ok,too_few_hours
95332223,2025-10,Extreme,0,240,too_few_hours,ok,too_few_hours
95332223,2025-11,Mild,0,624,too_few_hours,ok,too_few_hours
95332223,2025-11,Moderate,0,624,too_few_hours,ok,too_few_hours
95332223,2025-11,Severe,0,624,too_few_hours,ok,too_few_hours
95332223,2025-11,Extreme,0,624,too_few_hours,ok,too_few_hours
95332223,2025-12,Mild,448,264,ok,ok,ok
95332223,2025-12,Moderate,0,264,too_few_hours,ok,too_few_hours
95332223,2025-12,Severe,24,264,too_few_hours,ok,too_few_hours
95332223,2025-12,Extreme,0,264,too_few_hours,ok,too_few_hours
95332224,2025-01,Mild,0,0,too_few_hours,too_few_hours,too_few_hours
95332224,2025-01,Moderate,264,0,ok,too_few_hours,too_few_hours
95332224,2025-01,Severe,24,0,too_few_hours,too_few_hours,too_few_hours
95332224,2025-01,Extreme,0,0,too_few_hours,too_few_hours,too_few_hours
95332224,2025-02,Mild,480,24,ok,too_few_hours,too_few_hours
95332224,2025-02,Moderate,168,24,ok,too_few_hours,too_few_hours
95332224,2025-02,Severe,0,24,too_few_hours,too_few_hours,too_few_hours
95332224,2025-02,Extreme,0,24,too_few_hours,too_few_hours,too_few_hours
95332224,2025-03,Mild,0,168,too_few_hours,ok,too_few_hours
95332224,2025-03,Moderate,48,168,too_few_hours,ok,too_few_hours
95332224,2025-03,Severe,0,168,too_few_hours,ok,too_few_hours
95332224,2025-03,Extreme,0,168,too_few_hours,ok,too_few_hours
95332224,2025-04,Mild,264,432,ok,ok,ok
95332224,2025-04,Moderate,24,432,too_few_hours,ok,too_few_hours
95332224,2025-04,Severe,0,432,too_few_hours,ok,too_few_hours
95332224,2025-04,Extreme,0,432,too_few_hours,ok,too_few_hours
95332224,2025-05,Mild,72,576,ok,ok,ok
95332224,2025-05,Moderate,0,576,too_few_hours,ok,too_few_hours
95332224,2025-05,Severe,0,576,too_few_hours,ok,too_few_hours
95332224,2025-05,Extreme,0,576,too_few_hours,ok,too_few_hours
95332224,2025-06,Mild,72,456,ok,ok,ok
95332224,2025-06,Moderate,168,456,ok,ok,ok
95332224,2025-06,Severe,24,456,too_few_hours,ok,too_few_hours
95332224,2025-06,Extreme,0,456,too_few_hours,ok,too_few_hours
95332224,2025-07,Mild,72,312,ok,ok,ok
95332224,2025-07,Moderate,216,312,ok,ok,ok
95332224,2025-07,Severe,0,312,too_few_hours,ok,too_few_hours
95332224,2025-07,Extreme,0,312,too_few_hours,ok,too_few_hours
95332224,2025-08,Mild,216,144,ok,ok,ok
95332224,2025-08,Moderate,120,144,ok,ok,ok
95332224,2025-08,Severe,24,144,too_few_hours,ok,too_few_hours
95332224,2025-08,Extreme,0,144,too_few_hours,ok,too_few_hours
95332224,2025-09,Mild,96,432,ok,ok,ok
95332224,2025-09,Moderate,192,432,ok,ok,ok
95332224,2025-09,Severe,0,432,too_few_hours,ok,too_few_hours
95332224,2025-09,Extreme,0,432,too_few_hours,ok,too_few_hours
95332224,2025-10,Mild,0,384,too_few_hours,ok,too_few_hours
95332224,2025-10,Moderate,0,384,too_few_hours,ok,too_few_hours
95332224,2025-10,Severe,0,384,too_few_hours,ok,too_few_hours
95332224,2025-10,Extreme,0,384,too_few_hours,ok,too_few_hours
95332224,2025-11,Mild,0,600,too_few_hours,ok,too_few_hours
95332224,2025-11,Moderate,0,600,too_few_hours,ok,too_few_hours
95332224,2025-11,Severe,0,600,too_few_hours,ok,too_few_hours
95332224,2025-11,Extreme,0,600,too_few_hours,ok,too_few_hours
95332224,2025-12,Mild,256,240,ok,ok,ok
95332224,2025-12,Moderate,216,240,ok,ok,ok
95332224,2025-12,Severe,24,240,too_few_hours,ok,too_few_hours
95332224,2025-12,Extreme,0,240,too_few_hours,ok,too_few_hours
95332225,2025-01,Mild,24,0,too_few_hours,too_few_hours,too_few_hours
95332225,2025-01,Moderate,216,0,ok,too_few_hours,too_few_hours
95332225,2025-01,Severe,48,0,too_few_hours,too_few_hours,too_few_hours
95332225,2025-01,Extreme,0,0,too_few_hours,too_few_hours,too_few_hours
95332225,2025-02,Mild,480,168,ok,ok,ok
95332225,2025-02,Moderate,24,168,too_few_hours,ok,too_few_hours
95332225,2025-02,Severe,0,168,too_few_hours,ok,too_few_hours
95332225,2025-02,Extreme,0,168,too_few_hours,ok,too_few_hours
95332225,2025-03,Mild,48,240,too_few_hours,ok,too_few_hours
95332225,2025-03,Moderate,0,240,too_few_hours,ok,too_few_hours
95332225,2025-03,Severe,0,240,too_few_hours,ok,too_few_hours
95332225,2025-03,Extreme,0,240,too_few_hours,ok,too_few_hours
95332225,2025-04,Mild,96,456,ok,ok,ok
95332225,2025-04,Moderate,144,456,ok,ok,ok
95332225,2025-04,Severe,0,456,too_few_hours,ok,too_few_hours
95332225,2025-04,Extreme,0,456,too_few_hours,ok,too_few_hours
95332225,2025-05,Mild,144,504,ok,ok,ok
95332225,2025-05,Moderate,0,504,too_few_hours,ok,too_few_hours
95332225,2025-05,Severe,0,504,too_few_hours,ok,too_few_hours
95332225,2025-05,Extreme,0,504,too_few_hours,ok,too_few_hours
95332225,2025-06,Mild,120,144,ok,ok,ok
95332225,2025-06,Moderate,96,144,ok,ok,ok
95332225,2025-06,Severe,0,144,too_few_hours,ok,too_few_hours
95332225,2025-06,Extreme,0,144,too_few_hours,ok,too_few_hours
95332225,2025-07,Mild,192,456,ok,ok,ok
95332225,2025-07,Moderate,96,456,ok,ok,ok
95332225,2025-07,Severe,0,456,too_few_hours,ok,too_few_hours
95332225,2025-07,Extreme,0,456,too_few_hours,ok,too_few_hours
95332225,2025-08,Mild,0,264,too_few_hours,ok,too_few_hours
95332225,2025-08,Moderate,96,264,ok,ok,ok
95332225,2025-08,Severe,264,264,ok,ok,ok
95332225,2025-08,Extreme,120,264,ok,ok,ok
95332225,2025-09,Mild,288,168,ok,ok,ok
95332225,2025-09,Moderate,144,168,ok,ok,ok
