ScenarioID,Site_ID,Event_ID,Event_Start_Date,Event_End_Date,Duration_Days,Minimum_SPI,Stage,Stage_Label,Window_Type,Window_Start,Window_End,Window_Days,Window_End_Relative_Day,Reference_CBI,Reference_Flag,Pair_Flag,Window_CBI,Window_Intercept,Window_R2,Window_n_hours,Window_MacroSD,Window_Flag,Delta_CBI
BASE,95332228,6,2025-08-12,2025-09-12,32,-2.336613178253174,Early,事件前段,event_phase,2025-08-12,2025-08-22,11,,0.8817003381317174,ok,ok,0.7747183235038876,5.650608080981996,0.7416471741239917,264,3.366493923045654,ok,-0.10698201462782986
BASE,95332228,6,2025-08-12,2025-09-12,32,-2.336613178253174,Middle,事件中段,event_phase,2025-08-23,2025-09-02,11,,0.8817003381317174,ok,ok,0.8543078214318026,3.5232527156146283,0.8178697372045461,264,3.6437500133336456,ok,-0.027392516699914826
BASE,95332228,6,2025-08-12,2025-09-12,32,-2.336613178253174,Late,事件后段,event_phase,2025-09-03,2025-09-12,10,,0.8817003381317174,ok,ok,0.824613444133705,3.9386416778223676,0.8263110894009704,240,3.2486045558083454,ok,-0.05708689399801248
BASE,95332228,6,2025-08-12,2025-09-12,32,-2.336613178253174,R01_07,结束后1-7天,recovery,2025-09-13,2025-09-19,7,7.0,0.8817003381317174,ok,ok,0.8020304347645177,5.074145451472361,0.8607819672859117,168,3.7468071584129135,ok,-0.0796699033671997
BASE,95332228,6,2025-08-12,2025-09-12,32,-2.336613178253174,R08_14,结束后8-14天,recovery,2025-09-20,2025-09-26,7,14.0,0.8817003381317174,ok,ok,0.7200265447736018,6.9009214104662355,0.8214250720850919,168,2.877419889937125,ok,-0.1616737933581156
BASE,95332228,6,2025-08-12,2025-09-12,32,-2.336613178253174,R15_30,结束后15-30天,recovery,2025-09-27,2025-10-12,16,30.0,0.8817003381317174,ok,ok,0.9768738044374494,-0.405498471723476,0.8694516137617463,384,3.7096600000302,ok,0.09517346630573198
BASE,95332229,7,2025-08-12,2025-09-12,32,-2.1005795001983643,FullEvent,完整事件,event_reproduction,2025-08-12,2025-09-12,32,,0.3902269374276331,ok,ok,0.49729809530169516,11.38468595158352,0.7638709452242909,768,2.892543937585684,ok,0.10707115787406207
BASE,95332229,7,2025-08-12,2025-09-12,32,-2.1005795001983643,Early,事件前段,event_phase,2025-08-12,2025-08-22,11,,0.3902269374276331,ok,ok,0.5073070806426874,11.100863586272473,0.7301691268883896,264,2.9581962328784073,ok,0.11708014321505428
BASE,95332229,7,2025-08-12,2025-09-12,32,-2.1005795001983643,Middle,事件中段,event_phase,2025-08-23,2025-09-02,11,,0.3902269374276331,ok,ok,0.47533171649607187,11.786334968260952,0.7860964444074304,264,2.9307147579947577,ok,0.08510477906843877
BASE,95332229,7,2025-08-12,2025-09-12,32,-2.1005795001983643,Late,事件后段,event_phase,2025-09-03,2025-09-12,10,,0.3902269374276331,ok,ok,0.5154191945214969,11.128582817168386,0.8044560466227105,240,2.7543331261718067,ok,0.12519225709386378
