Site_ID,YearMonth,Month,Target_Class,Target_CBI,Target_n_hours_recomputed,Target_Macro_SD_recomputed,Normal_CBI,Normal_n_hours_recomputed,Normal_Macro_SD_recomputed,Delta_CBI,Target_Class_CN,Target_n_hours,Normal_n_hours_for_pair,Target_Macro_SD,Normal_Macro_SD_for_pair,Pass_Hours,Pass_Target_Macro_SD,Pass_Normal_Macro_SD,Pass_Hours_Plus_Macro_SD
95332219,2025-02,2,Mild,0.8712306187113843,552,4.773428518084105,0.8263981335247257,120,3.7345844268134614,0.04483248518665861,轻度干旱,552,120,4.773428518084109,3.73458442681346,True,True,True,True
95332219,2025-04,4,Mild,0.7537270892506297,120,2.6899559881478265,0.8589013293683732,192,4.404784594359112,-0.10517424011774346,轻度干旱,120,192,2.689955988147827,4.404784594359113,True,True,True,True
95332219,2025-05,5,Mild,0.6820483720894387,264,2.755116518692935,0.8412743708429237,480,3.422056559687546,-0.15922599875348498,轻度干旱,264,480,2.7551165186929336,3.4220565596875443,True,True,True,True
95332219,2025-07,7,Mild,0.7120396792578773,72,1.593963556757732,0.5609785827344644,216,2.4665926497045976,0.15106109652341282,轻度干旱,72,216,1.5939635567577315,2.4665926497045967,True,True,True,True
95332219,2025-08,8,Mild,0.7817351156940696,72,3.2330008906962,0.8173739530160636,312,3.0453450044232504,-0.03563883732199402,轻度干旱,72,312,3.2330008906962,3.045345004423252,True,True,True,True
95332219,2025-09,9,Mild,0.9332972447556472,240,2.566136578109788,0.7866648122324554,480,2.7461596979417537,0.1466324325231918,轻度干旱,240,480,2.5661365781097887,2.7461596979417537,True,True,True,True
95332219,2025-11,11,Mild,0.9720200160232476,408,4.8143099517454795,0.7911467786893878,240,4.127611815353314,0.18087323733385985,轻度干旱,408,240,4.814309951745482,4.127611815353312,True,True,True,True
95332220,2025-04,4,Mild,0.5269306675994126,72,2.4465136495852917,0.8690202228018031,240,4.430597708107616,-0.3420895552023905,轻度干旱,72,240,2.446513649585292,4.430597708107617,True,True,True,True
95332220,2025-05,5,Mild,0.756038413696992,144,3.349893884902954,0.755204605110814,600,3.1262485708319154,0.0008338085861779865,轻度干旱,144,600,3.349893884902956,3.1262485708319163,True,True,True,True
95332220,2025-07,7,Mild,0.5682926241693781,288,2.6177000875723677,0.6720378843243241,408,2.7719001961622047,-0.103745260154946,轻度干旱,288,408,2.617700087572368,2.7719001961622047,True,True,True,True
95332220,2025-08,8,Mild,0.5115354622292966,72,2.692537156149196,0.5591778524114401,360,2.7740380428981943,-0.04764239018214356,轻度干旱,72,360,2.692537156149197,2.774038042898192,True,True,True,True
95332220,2025-09,9,Mild,0.5273260525441138,360,2.7297855531584534,0.4139218865953157,312,2.7091887006952304,0.1134041659487981,轻度干旱,360,312,2.7297855531584525,2.709188700695229,True,True,True,True
95332221,2025-02,2,Mild,0.713146100728291,552,3.961019354072811,0.5634481186710729,72,2.412223527055693,0.14969798205721807,轻度干旱,552,72,3.9610193540728105,2.4122235270556933,True,True,True,True
95332221,2025-04,4,Mild,0.7844072604849225,264,4.341134409151408,0.718635311977618,456,4.767769866869097,0.0657719485073045,轻度干旱,264,456,4.341134409151407,4.767769866869098,True,True,True,True
95332221,2025-05,5,Mild,0.9355297098815344,144,3.635479551782937,0.5875836074131189,552,3.181911528612167,0.3479461024684155,轻度干旱,144,552,3.6354795517829386,3.181911528612169,True,True,True,True
95332221,2025-06,6,Mild,0.5451587387158966,120,2.8406825755285867,0.5890306122249648,480,2.847956062563182,-0.04387187350906818,轻度干旱,120,480,2.8406825755285867,2.8479560625631817,True,True,True,True
