AnalysisLayer,EvidenceChain,ScenarioID,Site_ID,Event_ID,Start_Date,End_Date,Duration_Days,Minimum_SPI,Drought_Level,Severity,Edge_Truncated,Reference_Search_Start,Reference_Search_End,Reference_Target_Days,Reference_Selected_Days,Event_MacroSD_Threshold,Event_CBI,Event_n_hours,Event_MacroSD,Event_Flag,Reference_CBI,Reference_n_hours,Reference_MacroSD,Reference_Flag,Delta_CBI,Pair_Flag,Event_ID_Robustness,Min_Daily_SPI
Hourly_state,Event_reference,E15,95332226,1.0,2025-01-01,2025-03-02,61,-1.8665928840637207,Severe,69.3838409781456,True,2025-03-04,2025-04-02,30,19,,0.6675843239663192,1008,5.129397420446315,ok,0.7777340818532205,456,7.678563535777995,ok,-0.11014975788690129,ok,,
Hourly_state,Event_reference,E15,95332226,4.0,2025-06-21,2025-08-01,42,-1.648650884628296,Severe,47.453545451164246,False,2025-08-03,2025-09-01,30,4,,0.434630865806107,1008,3.243406807937248,ok,0.48927586641008414,96,2.457891811655362,ok,-0.054645000603977145,ok,,
Hourly_state,Event_reference,E15,95332226,5.0,2025-08-07,2025-09-18,43,-2.204885721206665,Extreme,59.23395770788193,False,2025-09-20,2025-10-19,30,22,,0.4348817339627502,1032,3.257106372315691,ok,0.43026412692191296,528,3.577366953651393,ok,0.004617607040837246,ok,,
Hourly_state,Event_reference,E15,95332227,1.0,2025-01-01,2025-02-05,36,-1.8445535898208616,Severe,42.11343777179718,True,2025-02-07,2025-03-08,30,6,,0.6832536266674041,408,4.803118919344384,ok,0.864195162933389,144,4.943501185733156,ok,-0.18094153626598497,ok,,
Hourly_state,Event_reference,E15,95332227,5.0,2025-06-21,2025-07-20,30,-1.5740381479263306,Severe,33.78996628522873,False,2025-07-22,2025-08-20,30,15,,0.5416708294466787,720,3.2461710868495612,ok,0.5003619184039692,360,3.011391464218599,ok,0.041308911042709506,ok,,
Hourly_state,Event_reference,E15,95332227,6.0,2025-08-11,2025-09-23,44,-2.481644868850708,Extreme,67.75691944360733,False,2025-09-25,2025-10-24,30,19,,0.5236894012669755,1056,3.335793642499528,ok,0.6607071912776324,456,4.787807954326424,ok,-0.13701779001065695,ok,,
Hourly_state,Event_reference,E15,95332227,7.0,2025-12-04,2025-12-31,28,-1.6538732051849363,Severe,32.977122366428375,True,2026-01-02,2026-01-31,28,0,,0.6389020427230245,664,4.852766649806913,ok,,0,,insufficient_hours,,event=ok;reference=insufficient_hours,,
Hourly_state,Event_reference,E15,95332228,1.0,2025-01-01,2025-02-05,36,-1.8838770389556885,Severe,44.839335560798645,True,2025-02-07,2025-03-08,30,8,,0.9071475008342439,408,4.745624681650852,ok,0.8411990534385928,192,5.0049394573249,ok,0.06594844739565109,ok,,
Hourly_state,Event_reference,E15,95332228,5.0,2025-06-21,2025-07-26,36,-1.5810788869857788,Severe,41.1191428899765,False,2025-07-28,2025-08-26,30,15,,0.6126782791206721,864,3.163523446420995,ok,0.7072987512887066,360,2.977945752397891,ok,-0.09462047216803449,ok,,
Hourly_state,Event_reference,E15,95332228,6.0,2025-08-12,2025-09-12,32,-2.336613178253174,Extreme,57.857635140419006,False,2025-09-14,2025-10-13,30,30,,0.8183495111772902,768,3.4261989829716013,ok,0.8817003381317174,720,3.6935667368922576,ok,-0.06335082695442729,ok,,
