AnalysisLayer,EvidenceChain,ScenarioID,ScenarioGroup,Site_ID,Start_Date,End_Date,Duration_Days,Min_Daily_SPI,Max_Daily_SPI,Min_SPI_Date,Severity,Drought_Level,Edge_Truncated,Is_Extreme_Event,Event_ID_Robustness
Event_definition,Event_definition,BASE,Baseline,95332233,2025-05-12,2025-05-27,16,-1.687357425689697,-0.6275569200515747,2025-05-20,15.858039796352386,Severe,False,False,5
Event_definition,Event_definition,BASE,Baseline,95332233,2025-06-21,2025-07-11,21,-2.105762243270874,-0.5472849607467651,2025-06-28,26.469120144844055,Extreme,False,True,6
Event_definition,Event_definition,BASE,Baseline,95332233,2025-08-15,2025-09-12,29,-1.386088132858276,-0.5161435008049011,2025-08-30,26.068567037582397,Moderate,False,False,7
Event_definition,Event_definition,BASE,Baseline,95332234,2025-01-01,2025-01-08,8,-1.275993227958679,-0.7527870535850525,2025-01-01,7.684026062488555,Moderate,True,False,1
Event_definition,Event_definition,BASE,Baseline,95332234,2025-01-14,2025-01-22,9,-0.7460901141166687,-0.505255401134491,2025-01-18,5.214993238449097,Light,False,False,2
Event_definition,Event_definition,BASE,Baseline,95332234,2025-01-24,2025-02-05,13,-1.637575626373291,-0.7778707146644592,2025-02-05,15.052043616771698,Severe,False,False,3
Event_definition,Event_definition,BASE,Baseline,95332234,2025-02-08,2025-03-02,23,-1.881520867347717,-0.5572328567504883,2025-02-25,25.875768661499023,Severe,False,False,4
Event_definition,Event_definition,BASE,Baseline,95332234,2025-04-02,2025-04-23,22,-1.685685038566589,-0.5022627115249634,2025-04-03,24.33686763048172,Severe,False,False,5
Event_definition,Event_definition,BASE,Baseline,95332234,2025-05-15,2025-05-22,8,-0.7265049815177917,-0.5084318518638611,2025-05-16,4.886432945728302,Light,False,False,6
Event_definition,Event_definition,BASE,Baseline,95332234,2025-05-24,2025-06-01,9,-1.413404822349548,-0.7074782252311707,2025-05-27,8.7827268242836,Moderate,False,False,7
Event_definition,Event_definition,BASE,Baseline,95332234,2025-06-04,2025-06-14,11,-0.8224555850028992,-0.5297663807868958,2025-06-05,7.287799775600433,Light,False,False,8
Event_definition,Event_definition,BASE,Baseline,95332234,2025-06-16,2025-07-14,29,-1.863465428352356,-0.5358498692512512,2025-06-28,28.363433122634888,Severe,False,False,9
Event_definition,Event_definition,BASE,Baseline,95332234,2025-11-14,2025-11-29,16,-0.7607633471488953,-0.5397907495498657,2025-11-29,10.306505024433136,Light,False,False,10
Event_definition,Event_definition,BASE,Baseline,95332235,2025-01-01,2025-01-08,8,-1.328219294548035,-0.7344846725463867,2025-01-01,7.610427796840668,Moderate,True,False,1
Event_definition,Event_definition,BASE,Baseline,95332235,2025-01-17,2025-02-05,20,-1.893930792808533,-0.7309516668319702,2025-02-05,23.079840540885925,Severe,False,False,2
Event_definition,Event_definition,BASE,Baseline,95332235,2025-02-08,2025-03-02,23,-2.107394218444824,-0.690714955329895,2025-02-25,27.57739096879959,Extreme,False,True,3
Event_definition,Event_definition,BASE,Baseline,95332235,2025-04-02,2025-04-21,20,-2.480209589004517,-0.6236057877540588,2025-04-11,31.88193041086197,Extreme,False,True,4
Event_definition,Event_definition,BASE,Baseline,95332235,2025-05-22,2025-05-27,6,-0.9750081896781921,-0.7886147499084473,2025-05-22,5.289769649505615,Light,False,False,5
Event_definition,Event_definition,BASE,Baseline,95332235,2025-06-21,2025-07-16,26,-1.602747082710266,-0.5173022747039795,2025-06-28,24.41072052717209,Severe,False,False,6
Event_definition,Event_definition,BASE,Baseline,95332236,2025-01-01,2025-01-08,8,-1.395394563674927,-0.8232533931732178,2025-01-01,8.23682814836502,Moderate,True,False,1
Event_definition,Event_definition,BASE,Baseline,95332236,2025-01-10,2025-02-05,27,-1.846042394638062,-0.5343301296234131,2025-02-05,24.989439964294434,Severe,False,False,2
Event_definition,Event_definition,BASE,Baseline,95332236,2025-02-08,2025-03-02,23,-1.829840302467346,-0.579587459564209,2025-02-25,23.95381850004196,Severe,False,False,3
Event_definition,Event_definition,BASE,Baseline,95332236,2025-04-02,2025-04-23,22,-2.785902738571167,-0.5452662706375122,2025-04-11,34.75395089387894,Extreme,False,True,4
Event_definition,Event_definition,BASE,Baseline,95332236,2025-06-19,2025-07-19,31,-2.224727153778076,-0.5324895977973938,2025-06-27,35.36875170469284,Extreme,False,True,5
Event_definition,Event_definition,BASE,Baseline,95332237,2025-01-01,2025-01-08,8,-1.408050298690796,-0.7410733103752136,2025-01-01,7.803107440471649,Moderate,True,False,1
Event_definition,Event_definition,BASE,Baseline,95332237,2025-01-14,2025-02-05,23,-1.757048487663269,-0.5727397203445435,2025-02-05,23.91649979352951,Severe,False,False,2
Event_definition,Event_definition,BASE,Baseline,95332237,2025-02-08,2025-03-02,23,-1.986660480499268,-0.5755338668823242,2025-02-25,25.462726891040802,Severe,False,False,3
